,ZIP code,Neighborhood,City,Latitude,Longitude
0,401,Asian Development Bank,San Juan,14.58807565,121.05830089349516
1,550,Febias College of Bible,Valenzuela,14.6878992,120.98140788480265
2,702,Citibank,Makati,14.6073145,121.0789244
3,704,Producers Bank,Makati,14.5296986,121.0412465
4,707,Canadian Embassy,Makati,14.5606448,121.0165778
5,708,Philippine National Oil Company,Makati,14.55417675,121.05603995586922
6,711,Land Bank of the Philippines,Makati,14.5852342,121.0491369
7,712,Prudential Bank,Makati,14.614171,121.008071
8,713,BPI Family Savings Bank,Makati,14.6018902,121.012522
9,717,Diners Club,Makati,14.4324565,120.9898608
10,719,Security Bank,Makati,14.658246349999999,120.95216091402125
11,720,Bank of the Philippine Islands,Makati,14.6095054,121.0174223
12,723,Japanese Embassy,Makati,14.540438550000001,120.9932034265157
13,724,Sun Life Financial,Makati,14.5976484,120.975958
14,726,Equitable PCI Bank,Makati,14.5562885,121.0152758
15,727,Rizal Commercial Banking Corporation,Makati,14.5732335,121.0587651
16,728,United Coconut Planters Bank,Makati,14.618014,121.0561395
17,730,Zuellig Pharma,Makati,14.4984474,121.03786958570274
18,750,Philippine Airlines,Makati,14.5196397,121.014422
19,760,Pilipinas Shell,Makati,14.5863124,120.99309487919143
20,788,Directories Philippines Corporation,Makati,14.531507,121.0235158
21,800,Social Security System,Quezon City,14.6400078,121.04748405308439
22,801,Camp Crame,Quezon City,14.6080048,121.05343882284933
23,802,Camp Aguinaldo,Quezon City,14.6065379,121.06375883611628
24,810,Araneta Center,Quezon City,14.62051325,121.05427832470467
25,820,Bureau of Internal Revenue,Quezon City,14.6379005,121.0282679
26,830,National Irrigation Administration,Quezon City,14.638888600000001,121.0428245
27,840,V. Luna Hospital,Quezon City,14.636765,121.0627336
28,850,Philippine Heart Center,Quezon City,14.64403855,121.04842725955206
29,860,Quezon City Hall,Quezon City,14.646431549999999,121.05005207658252
30,870,Veterans Hospital,Quezon City,14.6849458,121.0745054
31,880,Commission on Audit,Quezon City,14.68981935,121.08869865944035
32,900,Manila Bulletin,Manila,14.5882234,120.9785525
33,904,Midland Plaza Manila Hotel,Manila,14.57692615,120.98277507187652
34,906,Manila Medical Center,Manila,14.6783111,121.064935
35,907,San Miguel Corporation,Manila,14.582772949999999,121.05894869021651
36,909,Summer Institute of Linguistics,Manila,14.6119931,121.03806474778412
37,910,Department of Labor and Employment,Manila,14.587209099999999,120.97787069765725
38,911,Philippine Statistics Authority,Manila,14.639083800000002,121.04538267975235
39,912,Bureau of Plant Industry,Manila,14.5693264,120.98993087191941
40,913,Manila Hotel,Manila,14.58332345,120.97385813217264
41,916,Radio Veritas,Manila,14.7001195,121.07176248507734
42,917,Ateneo de Manila University,Manila,14.63989835,121.07819518938447
43,919,Manila Police District,Manila,14.6783111,121.064935
44,921,Sofitel Philippine Plaza,Manila,14.5534909,120.98031769338013
45,922,De La Salle University,Manila,14.5675138,120.99141949777055
46,925,Chinabank,Manila,14.5866614,121.0629804
47,927,Philippine Veterans Affairs Office,Manila,14.61147215,121.06581964515308
48,940,Philippine National Bank,Manila,14.6498346,120.972745
49,970,Department of Justice,Manila,14.5793676,120.98403823157608
50,980,Asian Development Bank,Manila,14.58807565,121.05830089349516
51,1000,Manila Central Post Office,Manila,14.595644400000001,120.97925072468655
52,1001,Quiapo,Manila,14.59832055,120.98646999329705
53,1002,Intramuros,Manila,14.5892552,120.97645948986228
54,1003,Santa Cruz (South),Manila,14.61707325,120.98377591941718
55,1004,Malate,Manila,14.566364199999999,120.99059444915062
56,1005,San Miguel,Manila,14.595359850000001,120.99374004358317
57,1006,Binondo,Manila,14.60089925,120.97470674647673
58,1007,Paco,Manila,14.585824500000001,120.99319367270692
59,1008,Sampaloc (East),Manila,14.61290155,120.99702964296961
60,1009,Santa Ana,Manila,14.5837522,121.01271129718145
61,1010,San Nicolas,Manila,14.60051845,120.96917511732254
62,1011,Pandacan,Manila,14.58966,121.00275138485011
63,1012,Tondo (South),Manila,14.61707325,120.96762797605564
64,1013,Tondo (North),Manila,14.61707325,120.96762797605564
65,1014,Santa Cruz (North),Manila,14.61707325,120.98377591941718
66,1015,Sampaloc (West),Manila,14.61290155,120.99702964296961
67,1016,Santa Mesa,Manila,14.59648465,121.01687774628033
68,1017,San Andres,Manila,14.5726387,120.9995517
